id,mass,RT,Intensity
1,700.6277978150354,7.391089916229248,8874.65234375
2,197.15364127836207,8.66858959197998,9035.623046875
3,187.99913482038,7.391089916229248,30707.873046875
4,177.1386597959703,17.967500686645508,24045.646484375
5,172.205907845643,9.943340301513672,37827.265625
6,142.15885923946004,36.07659912109375,77795.078125
7,283.165529297494,67.76850128173828,17802.06640625
8,244.29067522605416,20.515600204467773,125089.328125
9,232.11788285600772,88.8583984375,25443.55859375
10,204.12116343892865,8.66858959197998,112422.0859375
11,251.00012648272178,99.31159973144531,7249.25439453125
12,114.09909368682023,111.23899841308594,24737.9453125
13,231.1491980677351,119.27799987792969,7244.65576171875
14,294.1549486298469,124.43000030517578,8372.0712890625
15,192.1575729349929,78.26300048828125,48346.0546875
16,174.09132864024164,5.742109775543213,83819.03125
17,186.09133948067023,4.4662299156188965,138033.640625
18,167.1178711388684,11.218500137329102,124415.546875
19,178.1055192111894,70.32450103759766,138395.21875
20,187.12283143426353,3.191610097885132,88422.203125
21,187.2249106126703,144.3820037841797,35235.484375
22,187.2249136402843,135.07400512695312,29794.8046875
23,150.11249597945834,173.33099365234375,12593.12109375
24,173.10734103902772,19.24169921875,36262.22265625
25,265.1654638920381,166.7270050048828,23127.775390625
26,102.07430134197841,185.07699584960938,33373.5234375
27,133.95993047770932,192.947998046875,24061.435546875
28,137.11544960949317,135.07400512695312,68599.359375
29,262.855621508303,99.31159973144531,41671.1328125
30,262.8556274481141,23.061599731445312,42850.78515625
31,262.8556411855721,41.22060012817383,37333.04296875
32,144.1383365329347,181.0229949951172,40646.9921875
33,144.1383242413523,69.04630279541016,34213.75390625
34,144.13833511312203,120.55400085449219,38029.00390625
35,144.13830837157263,105.93800354003906,29180.142578125
36,144.13832659561479,145.66000366210938,31083.337890625
37,144.1383351874362,196.76499938964844,44412.921875
38,149.07095866191034,25.611099243164062,48104.75
39,322.8574788411119,199.48500061035156,30749.615234375
40,80.95381151328986,186.35000610351562,44050.78515625
41,80.95380530896344,69.04630279541016,42329.6015625
42,80.95380860256556,113.98100280761719,38983.65234375
43,80.95380711267039,37.395198822021484,37680.08984375
44,80.95379509154105,140.36500549316406,39262.9296875
45,80.95379394397212,104.65899658203125,33002.8125
46,132.96468901530073,28.24650001525879,57159.8203125
47,132.96467124365628,164.17300415039062,59394.01171875
48,132.96466417825235,67.76850128173828,63725.87109375
49,132.96467898270046,8.66858959197998,59225.2421875
50,132.96469891541855,44.14250183105469,59551.7265625
51,140.14334558424954,168.18800354003906,52197.5859375
52,154.1110495782523,185.07699584960938,41323.49609375
53,175.1269912909677,202.02499389648438,70597.8359375
54,181.1334955305988,19.24169921875,105466.6015625
55,181.1335069819863,150.81199645996094,60834.86328125
56,181.1334192767624,179.75,38947.734375
57,181.13341913781906,192.947998046875,35391.7734375
58,102.06620968307169,103.37799835205078,70407.90625
59,103.05417445891533,196.76499938964844,59348.625
60,107.07025699445961,158.88400268554688,41591.50390625
61,107.07025455361078,49.24589920043945,35154.63671875
62,107.07024877553859,28.24650001525879,39345.328125
63,107.07025800511786,71.64409637451172,36691.25
64,112.12015176414025,182.5279998779297,70255.03125
65,112.12014763609096,21.78809928894043,61780.578125
66,112.12015435006684,72.9218978881836,65102.67578125
67,112.12016563576304,12.496700286865234,56420.87890625
68,123.9644028503231,194.22000122070312,76450.71875
69,123.96440148496961,80.82129669189453,78618.1015625
70,123.96440873888567,37.395198822021484,74480.65625
71,129.10222264335164,23.061599731445312,38871.9765625
72,129.10220203475635,124.43000030517578,45654.87109375
73,129.10220599605725,145.66000366210938,45941.40625
74,129.1021970989999,79.54060363769531,42118.62109375
75,129.1021787411427,165.4499969482422,43743.18359375
76,129.10220722019338,30.795700073242188,42708.31640625
77,130.0651404732544,181.0229949951172,86572.734375
78,130.06515044216982,11.218500137329102,23889.900390625
79,158.15397692545523,112.7020034790039,48741.2890625
80,158.15395478941323,32.255001068115234,48128.38671875
81,158.15389432087846,157.60899353027344,48338.5625
82,158.15397496670454,58.60150146484375,47396.00390625
83,158.15389518927356,177.19900512695312,34984.0078125
84,168.07676846314766,194.22000122070312,35314.23046875
85,168.07673814368925,71.64409637451172,30158.685546875
86,168.0767214855474,4.4662299156188965,34134.3984375
87,168.07673863664937,135.07400512695312,34936.50390625
88,168.07674110236044,158.88400268554688,33407.54296875
89,168.07677593187472,76.98480224609375,30779.2265625
90,168.07676556377407,96.75330352783203,27839.1953125
91,172.11607326523742,199.48500061035156,72779.9765625
92,184.9199315948002,179.75,51685.5859375
93,184.91994025387294,67.76850128173828,43223.890625
94,184.91993866073366,12.496700286865234,40621.6328125
95,184.9199208639524,30.795700073242188,39280.79296875
96,191.15419859423156,79.54060363769531,348837.0
