PeakID,Peak mass,Peak RT,Peak intensity,Peak logFC,polarity,Peak transform,Group ID
1,116.070538769,578.671864828,2139991424.0,-0.00686218746107,positive,M+2H,1,230.1265256077
2,231.133851437,578.056630453,42164816.0,0.219435832355,positive,M+H,1,230.1265256077
3,368.166532804,579.082499186,1216048.27083,-0.100721214788,positive,M+H,575,367.1592563525
4,118.0861954,532.008097331,1626993642.67,0.1149431088,positive,M+2H,2,234.1578324571
5,152.056708778,537.069051107,3745224.5,-0.383529825153,positive,M+H,240,151.0494323263
6,237.169289478,531.208435059,3754869.0,0.360576613233,positive,M+H,239,236.1620130258
7,344.133943328,532.65733846,3844911.95833,0.0384128717785,positive,M+H,235,343.1266668765
8,238.070904324,538.103129069,1693789.89583,-0.00324538718889,positive,M+H,459,237.0636278719
9,147.065148862,535.026774089,1211970.51042,0.166630755021,positive,M+H,577,146.0578894397
10,104.106910585,931.171366374,1175191008.0,-0.352086427261,positive,M+2H,3,206.1992683612
11,189.134472096,924.732696533,2951564.55208,-3.05735534105,positive,M+H,298,188.1271956441
12,105.113165854,930.529785156,3153526.95833,-0.341106100105,positive,M+H,285,104.1058894018
13,207.206614968,930.741546631,1580392.01042,-1.09630087816,positive,M+H,3,206.1992683612
14,258.10997119,606.34093221,1104771445.33,-0.151756109184,positive,M+2H,4,514.2054050997
15,515.213396636,605.930745443,12459615.8333,0.00980902136274,positive,M+H,4,514.2054050997
16,537.195369101,606.372751872,11241828.5,-0.204537088974,positive,M+Na,4,514.2054050997
17,261.117424286,606.94917806,1272990.625,-0.124194956583,positive,M+H,559,260.1101478339
18,336.087525963,603.682952881,940143.802083,0.0188569878917,positive,M+H,684,335.0802495112
19,136.061797123,495.968688965,306460102.125,-6.95436980359,positive,M+H,7,135.0545206709
20,393.162880051,494.190971375,1747024.94141,-16.1182217544,positive,M+H,446,392.1556035994
21,167.08957664,499.712432861,1318508.66667,-0.890039753025,positive,M+H[C13],93,165.07899814
22,148.060392439,493.62860616,1340420.875,-1.0896837025,positive,M+H,540,147.0531159872
23,158.117613428,494.271057129,960083.203125,-1.08717370861,positive,M+H,673,157.1103369764
24,469.207421725,493.616760254,824658.523438,-1.9256447399,positive,[M-CH2O2]+H,40,514.2022348063
25,249.120620029,494.614878337,387009.744792,-19.4709616345,positive,M+H,1316,248.1133435766
26,339.155193823,491.722676595,388878.648438,-1.47925261329,positive,M+H,1314,338.1479173714
27,138.061953382,496.70690918,281343.463542,-19.0971173065,positive,M+H,1576,137.0546769297
28,347.149617666,495.451588949,277128.494792,-19.0788895531,positive,M+H,1597,346.1423412136
29,227.138863219,496.988072713,410766.114583,-0.693038394759,positive,M+H,1268,226.1315867666
30,164.073953912,498.042022705,254337.947917,-1.14202816831,positive,M+H,1682,163.0666774596
31,318.166079151,500.836954753,261035.080729,-0.731821924358,positive,M+H,1652,317.1588026994
32,235.165092028,532.649027507,524219338.667,0.553615656663,positive,M+H,2,234.1578324571
33,352.244159954,531.593505859,10438382.25,1.3765099731,positive,M+H,109,351.2368835017
34,138.054961841,547.531158447,406200058.667,-0.333907271203,positive,M+H,5,137.0476853886
35,204.086701519,548.576243083,5614904.66667,-0.193968963561,positive,[M-H2O]+H,183,221.0899673076
36,186.076092803,549.001536051,901483.677083,-0.271263952496,positive,M+H,704,185.0688163515
37,266.123204229,635.24101766,365416442.667,0.609841349497,positive,M+H,6,265.1159287765
38,420.1628041,635.24101766,10017620.5,0.232101515593,positive,M+H,112,419.155538369
39,401.337405045,628.802134196,739465.296875,1.22460364667,positive,M+H,812,400.3301138383
40,269.130520714,635.641652425,639575.088542,0.563700360462,positive,M+H,900,268.1232442619
41,146.092344282,643.78507487,261084098.667,0.291545408691,positive,M+H,8,145.0850679639
42,252.107618143,640.935506185,7855603.41667,0.474160082767,positive,M+H,141,251.1003495392
43,183.08630968,644.201822917,4059404.0625,1.66884996196,positive,M+H,226,182.0790403447
44,362.165594865,641.352884928,3626586.39583,2.16813525037,positive,[M+NH3]+H,248,344.1317741768
45,291.118454797,645.20296224,3565731.58333,2.15122195146,positive,M+H,251,290.1111783452
46,345.139040881,643.191619873,1561742.07292,1.95890817919,positive,M+H,248,344.1317741768
47,157.0107897,644.186706543,1147073.16667,3.20037458732,positive,M+H,595,156.0035132478
48,165.075785784,642.99303182,857899.192708,1.60116163793,positive,[M-H2O]+H,226,182.0790403447
49,234.097117127,641.155629476,1104499.41667,0.594520986596,positive,[M-H2O]+H,141,251.1003495392
50,707.221247129,650.661682129,561285.520833,1.82123681428,positive,M+H,1000,706.2139706774
51,270.040406002,647.634613037,618581.786458,0.413393895168,positive,M+Na,221,247.0512694556
52,417.332355402,647.212860107,377210.97526,2.25598981154,positive,M+H,1340,416.3250789495
53,303.118592331,643.948852539,146922.432292,18.1618198578,positive,M+H,2130,302.1113158785
54,130.04988937,483.635075887,234254312.0,0.0622842662962,positive,M+H,9,129.0426012423
55,259.092329915,484.073603312,34478010.6667,0.218841853229,positive,2M+H,9,129.0426012423
56,242.11338075,479.412872315,15738290.3333,-0.171221857292,positive,M+H,74,241.1061222423
57,312.111141105,483.458816528,9087644.5,0.265255435434,positive,M+H,122,311.1038543301
58,180.101858835,486.786972046,6592435.5,-0.318683131073,positive,M+H,169,179.0945814226
59,209.103203886,484.894688924,1567514.97917,0.284933323773,positive,M+H,485,208.0959274342
60,290.123303511,480.432006836,1662699.3125,-0.0157099061056,positive,M+H,465,289.1160270589
61,161.092060635,487.312133789,780433.0,-0.410929584672,positive,[M-CO]+H,301,188.0796686906
